Session_ID,Station_ID,Station_Name,City,State,Location_Type,Charger_ID,Charger_Type,Connector_Type,Power_Rating_kW,Vehicle_Type,Vehicle_Model,Session_Start,Session_End,Charging_Duration_Min,Energy_Delivered_kWh,Idle_Duration_Min,Session_Status,Start_SOC_Percent,End_SOC_Percent,Charging_Cost,Price_per_kWh,Payment_Method,Customer_Type,Peak_Hour_Flag,Day_Type,Month,Year,Weather_Condition,Temperature_C
SESS001398,STN0130,Surat Charge Point,Surat,Gujarat,Highway,CHG00386,DC Fast,,150.0,2 Wheeler,Ather 450X,15/04/2021 10:10,2021-04-15 10:50:18,40.0,,0.0,Completed,17.8,150.0,123.84,14.35,Card,Fleet,Y,Weekend,April,2021,,30.4
SESS001050,STN0043,Indore EV Hub,INDORE,Madhya Pradesh,Residential,CHG00073,DC Ultra Fast,CHAdeMO,22.0,2-Wheeler,Tata Tiago EV,10/01/2023 03:19,2023-01-10 03:45:50,26.0,7.03,9.0,Failed,-5.0,75.7,104.68,,Card,Fleet,,Weekday,January,2023,Humid,29.6
SESS000267,STN0140,Pune EV Hub,Pune,Maharashtra,Highway,CHG00325,,ccs2,150.0,SUV,,17-12-2021 23:12:06,17-12-2021 23:32:06,20.0,3.9,11.0,completed,-5.0,-7.0,36.31,9.31,upi,Individual,Yes,Weekend,December,2021,Humid,23.8
SESS001596,STN0233,Bengaluru Power Station,Bengaluru,karnataka,Residential,CHG00024,DC fast,ccs2,7.2,3-Wheeler,Mahindra XUV400,2023-07-28 20:21:30,2023-07-28 20:52:30,31.0,19.28,0.0,Cancelled,-5.0,,379.24,19.67,App,Individual,N,Weekday,July,2023,Foggy,37.3
SESS000453,STN0014,Bhopal Charge Point,Bhopal,Madhya Pradesh,highway,CHG00112,ac,ccs2,30.0,2 Wheeler,Mahindra XUV400,01/10/2025 03:05,2025-10-01 04:40:26,95.0,34.18,0.0,Cancelled,105.0,64.9,401.62,11.75,Wallet,Individual,N,Weekday,October,2025,Foggy,18.9
SESS001812,STN0172,Noida Fast Charge Center,Noida,Uttar Pradesh,Office,CHG00616,DC Ultra Fast,CCS,150.0,,Tata Tiago EV,2023-07-10 09:13:00,2023-07-10 10:09:00,56.0,25.58,,Failed,-5.0,60.7,315.66,12.34,,Fleet,Yes,Weekend,July,2023,Foggy,31.8
SESS001220,STN0163,Bhopal Power Station,Bhopal,Madhya Pradesh,Residential,CHG00183,DC Fast,ccs2,120.0,2 Wheeler,,12-02-2025 22:44:14,12/02/2025 23:49,65.0,18.36,0.0,Completed,,150.0,302.57,16.48,Cash,Commercial,No,Holiday,February,2025,,19.7
SESS001097,STN0092,Jaipur Fast Charge Center,Jaipur,Rajasthan,Hotel,CHG00219,ac,Type 2,22.0,2-Wheeler,Ather 450X,2025-03-28 13:53:58,28/03/2025 14:04,11.0,25.29,,COMPLETED,,80.3,343.69,13.59,Card,,No,Holiday,March,2025,,29.4
SESS000300,STN0178,Pune EV Hub,Pune,Maharashtra,Office,CHG00228,,Type 2,50.0,Bus,Ather 450X,2022-08-29 07:55:36,2022-08-29 08:06:36,11.0,16.18,0.0,Failed,-5.0,,245.94,15.2,Cash,Fleet,Yes,Weekend,August,2022,Foggy,36.1
SESS000195,STN0160,Ahmedabad Fast Charge Center,Ahmedabad,Gujarat,,CHG00738,DC Fast,CCS,150.0,,Tata Nexon EV,02/01/2025 14:21,2025-01-02 14:42:23,21.0,28.01,,Failed,27.7,,399.7,14.27,upi,Fleet,Y,Weekday,January,2025,Cloudy,31.7
